YEAR,STATE,AVG_SCORE,TEST_SUBJECT,TEST_YEAR,ENROLL,TOTAL_REVENUE,INSTRUCTION_EXPENDITURE,TOTAL_REV_PER_STUDENT,INSTRUCTION_EXPENDITURE_PER_STUDENT
2007,Kansas,290.0325998,Mathematics,8,468974.0,5038100,2602503,10742.81,5549.35
2007,Kentucky,278.7047499,Mathematics,8,646360.0,6226696,3184235,9633.48,4926.41
2007,Louisiana,272.3862996,Mathematics,8,662302.0,7048732,3430268,10642.78,5179.31
2007,Maine,286.4722531,Mathematics,8,193539.0,2538161,1459635,13114.47,7541.81
2007,Maryland,285.7342652,Mathematics,8,851640.0,11674965,6031042,13708.8,7081.68
2007,Massachusetts,297.9233445,Mathematics,8,945070.0,14407777,8053653,15245.2,8521.75
2007,Michigan,276.8305171,Mathematics,8,1686473.0,20576110,9608836,12200.68,5697.59
2007,Minnesota,291.8511165,Mathematics,8,810104.0,9693509,5048143,11965.76,6231.48
2007,Mississippi,264.8909187,Mathematics,8,494135.0,4220926,2160396,8542.05,4372.08
2007,Missouri,280.6195383,Mathematics,8,910142.0,8908844,4743390,9788.41,5211.7
2007,Montana,287.075529,Mathematics,8,144258.0,1474306,793711,10219.93,5502.02
2007,Nebraska,283.6505986,Mathematics,8,287135.0,3234014,1673992,11263.04,5829.98
2007,Nevada,270.8040244,Mathematics,8,422782.0,4006081,2047045,9475.52,4841.85
2007,New Hampshire,287.557061,Mathematics,8,198625.0,2600123,1395619,13090.61,7026.4
2007,New Jersey,288.5834514,Mathematics,8,1363804.0,25293076,13250745,18545.98,9716.02
2007,New Mexico,267.5380787,Mathematics,8,327816.0,3272953,1610295,9984.12,4912.19
2007,New York,280.1411772,Mathematics,8,2754976.0,50762544,31465706,18425.77,11421.41
2007,North Carolina,283.8806688,Mathematics,8,1416028.0,13063307,6987589,9225.32,4934.64
2007,North Dakota,291.5616119,Mathematics,8,96577.0,1045678,523778,10827.4,5423.42
2007,Ohio,284.8516395,Mathematics,8,1758645.0,22142424,10202242,12590.62,5801.19
2007,Oklahoma,274.5349894,Mathematics,8,639032.0,5491931,2688963,8594.14,4207.87
2007,Oregon,283.8262772,Mathematics,8,559643.0,5648586,2999104,10093.2,5358.96
2007,Pennsylvania,286.1668633,Mathematics,8,1760451.0,25334577,11994620,14390.96,6813.38
2007,Rhode Island,275.3869905,Mathematics,8,147861.0,2100679,1177636,14207.12,7964.48
2007,South Carolina,281.5036015,Mathematics,8,701580.0,7130274,3481608,10163.17,4962.52
2007,South Dakota,288.4639253,Mathematics,8,121158.0,1136570,573916,9380.89,4736.92
2007,Tennessee,273.9787866,Mathematics,8,978084.0,7617488,4473035,7788.17,4573.26
2007,Texas,285.8707084,Mathematics,8,4513835.0,44355326,21061312,9826.53,4665.95
2007,Utah,281.0874737,Mathematics,8,504079.0,3656090,1816456,7253.01,3603.51
2007,Vermont,291.0107738,Mathematics,8,89329.0,1836316,800453,20556.77,8960.73
2007,Virginia,287.625905,Mathematics,8,1220440.0,14176385,7630837,11615.8,6252.53
2007,Washington,284.8628043,Mathematics,8,1026121.0,10350748,5148806,10087.26,5017.74
2007,West Virginia,270.0840936,Mathematics,8,281298.0,2905489,1608247,10328.86,5717.24
2007,Wisconsin,285.6179425,Mathematics,8,870584.0,10154985,5459295,11664.57,6270.84
2007,Wyoming,286.9877715,Mathematics,8,85034.0,1477891,661713,17380.0,7781.75
2005,Alabama,262.2111,Mathematics,8,729342.0,5889966,3053380,8075.73,4186.49
2005,Alaska,278.9587094,Mathematics,8,132568.0,1599739,829666,12067.31,6258.42
2005,Arizona,274.30509,Mathematics,8,919875.0,7550109,3423716,8207.76,3721.94
2005,Arkansas,271.6363484,Mathematics,8,461667.0,3978240,2118580,8617.12,4588.98
2005,California,268.5581286,Mathematics,8,6307022.0,62171797,31070450,9857.55,4926.33
2005,Colorado,280.8240073,Mathematics,8,765388.0,6910296,3380399,9028.49,4416.58
2005,Connecticut,281.068953,Mathematics,8,552512.0,7898694,4177845,14295.97,7561.55
2005,Delaware,280.9535428,Mathematics,8,112562.0,1431710,761786,12719.3,6767.7
2005,District of Columbia,245.2157808,Mathematics,8,62306.0,1109605,459063,17808.96,7367.88
2005,Florida,274.0483769,Mathematics,8,2645280.0,23216404,11270907,8776.54,4260.76
2005,Georgia,272.1915644,Mathematics,8,1552758.0,14724731,7886069,9482.95,5078.75
2005,Hawaii,265.6293191,Mathematics,8,183185.0,2274166,1007207,12414.59,5498.3
2005,Idaho,280.9668966,Mathematics,8,253782.0,1796035,989703,7077.08,3899.82
2005,Illinois,277.6722389,Mathematics,8,2072437.0,21611180,11063949,10427.91,5338.62
2005,Indiana,281.7149455,Mathematics,8,1014528.0,11653165,5343758,11486.29,5267.24
2005,Iowa,283.8109288,Mathematics,8,478319.0,4638125,2323233,9696.72,4857.08
2005,Kansas,284.0300535,Mathematics,8,468481.0,4223632,2174402,9015.59,4641.39
2005,Kentucky,273.9830272,Mathematics,8,674502.0,5444309,2864633,8071.6,4247.03
2005,Louisiana,267.7550308,Mathematics,8,717625.0,5975074,3264689,8326.18,4549.3
2005,Maine,281.0585409,Mathematics,8,198745.0,2324789,1355800,11697.35,6821.81
2005,Maryland,277.9307946,Mathematics,8,865561.0,9906219,5154440,11444.85,5955.03
2005,Massachusetts,291.5135411,Mathematics,8,955225.0,12976279,7203922,13584.53,7541.6
2005,Michigan,277.346682,Mathematics,8,1721351.0,19106382,9269314,11099.64,5384.91
2005,Minnesota,290.0749958,Mathematics,8,814660.0,8777363,4637773,10774.27,5692.89
2005,Mississippi,262.4562427,Mathematics,8,494382.0,3639643,1935459,7362.01,3914.91
2005,Missouri,276.4499393,Mathematics,8,902659.0,8340865,4224716,9240.33,4680.3
2005,Montana,286.4320012,Mathematics,8,146552.0,1293070,721019,8823.28,4919.89
2005,Nebraska,283.962991,Mathematics,8,284553.0,2895640,1487488,10176.1,5227.45
2005,Nevada,269.9055855,Mathematics,8,399727.0,3381646,1665706,8459.89,4167.11
2005,New Hampshire,285.253357,Mathematics,8,202223.0,2332695,1261140,11535.26,6236.38
2005,New Jersey,283.9026042,Mathematics,8,1368959.0,23026334,11575456,16820.32,8455.66
2005,New Mexico,263.275163,Mathematics,8,326102.0,2982991,1395996,9147.42,4280.86
2005,New York,279.7162537,Mathematics,8,2816426.0,43936450,27866708,15600.07,9894.35
2005,North Carolina,281.8251366,Mathematics,8,1347177.0,11098165,6160224,8238.09,4572.69
2005,North Dakota,286.9609534,Mathematics,8,100413.0,969520,501563,9655.32,4995.0
2005,Ohio,283.2517747,Mathematics,8,1778784.0,19746239,9700668,11100.98,5453.54
2005,Oklahoma,271.3599024,Mathematics,8,629145.0,4892548,2303527,7776.5,3661.36
2005,Oregon,282.2373254,Mathematics,8,550502.0,5022050,2671228,9122.67,4852.35
2005,Pennsylvania,280.7138351,Mathematics,8,1755560.0,22657782,11284717,12906.3,6427.99
2005,Rhode Island,272.3450181,Mathematics,8,153596.0,1903472,1023496,12392.72,6663.56
2005,South Carolina,281.2343211,Mathematics,8,701176.0,6337711,3134658,9038.69,4470.57
2005,South Dakota,287.303618,Mathematics,8,124862.0,1053504,539413,8437.35,4320.07
